Timestamp,Do you live on campus(near-campus apartments or on campus apartments/dorms) or commute(living in a house off campus UCR)?,"How far is your commute to campus? (0 (I live on campus), 1-5, 6-10, 11-20, 21+ miles)",What is your primary mode of transportation?,"How satisfied are you with the availability of parking, public transit, or other facilities on campus?",Do you feel your living situation affects your participation in campus activities?,"How many on-campus organizations are you actively involved in (including attending meetings, participating in events)?","On a scale of 1-5, how fulfilled do you feel about your social life?",How many hours of sleep do you get on average?(write the numerical value Ex. 10 or 1 ),"How many meals do you eat per day? (0, 1, 2, 3, 4, 5+)"
1/24/2025 10:41:48,On-campus,0,Walking,Neutral,Yes,2-3,3,7,2
1/24/2025 10:59:40,On-campus,0,Walking,Neutral,Yes,2-3,3,6,3
1/24/2025 11:13:59,On-campus,1-5,Scooter or Bicycle,Satisfied,Maybe,2-3,3,7.5,2
1/24/2025 12:01:35,Commuter,11-20,Car,Dissatisfied,Yes,0-1,1,6-7,1
1/24/2025 17:25:36,On-campus,1-5,Walking,Neutral,Yes,0-1,4,7,3
1/24/2025 17:26:44,On-campus,0,Walking,Neutral,Maybe,0-1,3,,2
1/24/2025 17:32:14,On-campus,0,Walking,Neutral,Maybe,0-1,4,6,3
1/24/2025 17:36:04,Commuter,21+,Car,Dissatisfied,Yes,0-1,1,6,2
1/24/2025 17:45:58,Commuter,1-5,Public Transport,Satisfied,Yes,2-3,5,8,3
1/24/2025 17:56:17,Commuter,11-20,Car,Neutral,No,2-3,3,6,1
1/24/2025 18:01:30,Commuter,1-5,Walking,Dissatisfied,No,0-1,3,7,2
1/24/2025 18:41:55,Commuter,21+,Car,Dissatisfied,Yes,2-3,5,6,1
1/25/2025 4:23:27,Commuter,11-20,Car,Very dissatisfied,Yes,0-1,4,5,2
1/25/2025 12:05:27,On-campus,0,Scooter or Bicycle,Neutral,No,2-3,2,6,3
1/26/2025 11:05:17,Commuter,1-5,Scooter or Bicycle,Dissatisfied,No,2-3,5,6,2
1/27/2025 15:03:51,Commuter,1-5,Public Transport,Neutral,Maybe,2-3,4,7,1
1/27/2025 16:20:21,On-campus,0,Scooter or Bicycle,Dissatisfied,No,4-5,5,6,2
1/27/2025 17:12:02,Commuter,1-5,Scooter or Bicycle,Satisfied,Maybe,0-1,4,6,3
1/27/2025 19:00:43,On-campus,0,Scooter or Bicycle,Neutral,No,2-3,2,7,3
1/27/2025 22:03:57,Commuter,21+,Car,Dissatisfied,Yes,0-1,1,6,2
1/29/2025 16:39:10,Commuter,11-20,Car,Very dissatisfied,Yes,2-3,3,8,2
1/29/2025 18:31:27,On-campus,0,Walking,Dissatisfied,No,2-3,4,6,2
1/30/2025 13:10:01,Commuter,11-20,Car,Very dissatisfied,Yes,0-1,3,6,1
2/2/2025 16:05:27,Commuter,11-20,Car,Satisfied,Yes,0-1,1,6,2
